Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
8,Antigua and Barbuda,399,Eggplants (aubergines),5419,Yield,hg/ha,70000,Fc,70617,Fc,71429,Fc,71111,Fc,70833,Fc,69448,Fc,69000,Fc,67918,Fc,67102,Fc,66288,Fc,65466,Fc,64635,Fc,61667,Fc,63075,Fc,65337,Fc
8,Antigua and Barbuda,399,Eggplants (aubergines),5510,Production,tonnes,280,F,285,F,300,F,320,F,340,F,337,Im,345,F,350,Im,358,Im,364,Im,370,Im,388,Im,370,F,378,Im,387,Im
8,Antigua and Barbuda,603,"Fruit, tropical fresh nes",5312,Area harvested,ha,1000,F,976,Im,1010,F,1020,F,1030,F,650,F,700,F,800,F,850,F,889,Im,950,F,950,F,941,Im,913,Im,920,Im
8,Antigua and Barbuda,603,"Fruit, tropical fresh nes",5419,Yield,hg/ha,76500,Fc,76654,Fc,76733,Fc,76471,Fc,76699,Fc,76923,Fc,78571,Fc,77500,Fc,76471,Fc,74264,Fc,71579,Fc,71579,Fc,71798,Fc,73602,Fc,73353,Fc
8,Antigua and Barbuda,603,"Fruit, tropical fresh nes",5510,Production,tonnes,7650,F,7484,Im,7750,F,7800,F,7900,F,5000,F,5500,F,6200,F,6500,F,6600,F,6800,F,6800,F,6754,Im,6721,Im,6750,Im
8,Antigua and Barbuda,497,Lemons and limes,5312,Area harvested,ha,60,Im,61,Im,65,F,70,F,75,F,52,F,78,F,80,F,81,Im,83,Im,90,F,88,Im,88,F,90,Im,91,Im
8,Antigua and Barbuda,497,Lemons and limes,5419,Yield,hg/ha,37400,Fc,37652,Fc,38462,Fc,37857,Fc,38000,Fc,38462,Fc,38462,Fc,38125,Fc,40160,Fc,41332,Fc,42347,Fc,43386,Fc,47727,Fc,45395,Fc,44980,Fc
8,Antigua and Barbuda,497,Lemons and limes,5510,Production,tonnes,225,F,230,F,250,F,265,F,285,F,200,F,300,F,305,F,324,Im,343,Im,381,Im,383,Im,420,F,408,Im,409,Im
8,Antigua and Barbuda,56,Maize,5312,Area harvested,ha,30,F,31,Im,32,F,35,F,38,F,38,Im,40,F,41,Im,42,F,42,Im,40,F,45,F,44,Im,45,Im,46,Im
8,Antigua and Barbuda,56,Maize,5419,Yield,hg/ha,16000,Fc,16126,Fc,15625,Fc,15714,Fc,15789,Fc,15957,Fc,16250,Fc,15998,Fc,16190,Fc,15903,Fc,15871,Fc,15966,Fc,15954,Fc,15942,Fc,15931,Fc
8,Antigua and Barbuda,56,Maize,5510,Production,tonnes,48,F,51,Im,50,F,55,F,60,F,61,Im,65,F,65,Im,68,F,66,Im,63,Im,72,Im,70,Im,72,Im,74,Im
8,Antigua and Barbuda,571,"Mangoes, mangosteens, guavas",5312,Area harvested,ha,240,F,239,Im,245,F,250,F,260,F,260,Im,261,Im,263,Im,270,F,270,F,270,F,270,F,320,F,307,Im,282,Im
